redteam_id,redteam_time,redteam_user,redteam_src_computer,redteam_dst_computer,process_time,time_difference_seconds,process_user,computer,host_role,same_user_as_redteam,process,event_type
2,151036,U748@DOM1,C17693,C305,151134,98,C305$@DOM1,C305,destination_host,False,P21,End
2,151036,U748@DOM1,C17693,C305,151134,98,C305$@DOM1,C305,destination_host,False,P21,Start
2,151036,U748@DOM1,C17693,C305,151232,196,C305$@DOM1,C305,destination_host,False,P16,Start
2,151036,U748@DOM1,C17693,C305,151236,200,C305$@DOM1,C305,destination_host,False,P16,End
3,151648,U748@DOM1,C17693,C728,151616,32,C728$@DOM1,C728,destination_host,False,P16,Start
3,151648,U748@DOM1,C17693,C728,151620,28,C728$@DOM1,C728,destination_host,False,P16,End
3,151648,U748@DOM1,C17693,C728,151650,2,C728$@DOM1,C728,destination_host,False,P4,Start
3,151648,U748@DOM1,C17693,C728,151650,2,C728$@DOM1,C728,destination_host,False,P8284,End
3,151648,U748@DOM1,C17693,C728,151650,2,C728$@DOM1,C728,destination_host,False,P8284,Start
3,151648,U748@DOM1,C17693,C728,151682,34,C728$@DOM1,C728,destination_host,False,P1645,Start
3,151648,U748@DOM1,C17693,C728,151684,36,C728$@DOM1,C728,destination_host,False,P16,Start
3,151648,U748@DOM1,C17693,C728,151684,36,C728$@DOM1,C728,destination_host,False,P1645,End
3,151648,U748@DOM1,C17693,C728,151684,36,C728$@DOM1,C728,destination_host,False,P5,Start
3,151648,U748@DOM1,C17693,C728,151684,36,C728$@DOM1,C728,destination_host,False,P8279,End
3,151648,U748@DOM1,C17693,C728,151684,36,C728$@DOM1,C728,destination_host,False,P8279,Start
3,151648,U748@DOM1,C17693,C728,151684,36,U748@DOM1,C728,destination_host,True,P5,End
3,151648,U748@DOM1,C17693,C728,151684,36,U748@DOM1,C728,destination_host,True,P8279,End
3,151648,U748@DOM1,C17693,C728,151688,40,C728$@DOM1,C728,destination_host,False,P16,End
4,151993,U6115@DOM1,C17693,C1173,151775,218,C1173$@DOM1,C1173,destination_host,False,P16,Start
4,151993,U6115@DOM1,C17693,C1173,151781,212,C1173$@DOM1,C1173,destination_host,False,P16,End
3,151648,U748@DOM1,C17693,C728,151920,272,C728$@DOM1,C728,destination_host,False,P16,Start
3,151648,U748@DOM1,C17693,C728,151924,276,C728$@DOM1,C728,destination_host,False,P16,End
4,151993,U6115@DOM1,C17693,C1173,152079,86,C1173$@DOM1,C1173,destination_host,False,P16,Start
4,151993,U6115@DOM1,C17693,C1173,152085,92,C1173$@DOM1,C1173,destination_host,False,P16,End
5,153792,U636@DOM1,C17693,C294,153550,242,C294$@DOM1,C294,destination_host,False,P14,Start
5,153792,U636@DOM1,C17693,C294,153670,122,C294$@DOM1,C294,destination_host,False,P14,Start
5,153792,U636@DOM1,C17693,C294,153746,46,C294$@DOM1,C294,destination_host,False,P16,Start
5,153792,U636@DOM1,C17693,C294,153792,0,C294$@DOM1,C294,destination_host,False,P4,Start
5,153792,U636@DOM1,C17693,C294,153792,0,C294$@DOM1,C294,destination_host,False,P8311,Start
5,153792,U636@DOM1,C17693,C294,153806,14,C294$@DOM1,C294,destination_host,False,P14,Start
5,153792,U636@DOM1,C17693,C294,153872,80,C294$@DOM1,C294,destination_host,False,P16,Start
5,153792,U636@DOM1,C17693,C294,153872,80,C294$@DOM1,C294,destination_host,False,P1645,Start
5,153792,U636@DOM1,C17693,C294,153874,82,C294$@DOM1,C294,destination_host,False,P16,Start
5,153792,U636@DOM1,C17693,C294,153874,82,C294$@DOM1,C294,destination_host,False,P5,Start
5,153792,U636@DOM1,C17693,C294,153874,82,C294$@DOM1,C294,destination_host,False,P8279,Start
5,153792,U636@DOM1,C17693,C294,153886,94,C294$@DOM1,C294,destination_host,False,P1645,Start
5,153792,U636@DOM1,C17693,C294,153888,96,C294$@DOM1,C294,destination_host,False,P16,Start
5,153792,U636@DOM1,C17693,C294,153888,96,C294$@DOM1,C294,destination_host,False,P5,Start
5,153792,U636@DOM1,C17693,C294,153888,96,C294$@DOM1,C294,destination_host,False,P8279,Start
5,153792,U636@DOM1,C17693,C294,153934,142,C294$@DOM1,C294,destination_host,False,P14,Start
5,153792,U636@DOM1,C17693,C294,154046,254,C294$@DOM1,C294,destination_host,False,P16,Start
5,153792,U636@DOM1,C17693,C294,154070,278,C294$@DOM1,C294,destination_host,False,P14,Start
6,155219,U748@DOM1,C17693,C5693,155013,206,C5693$@DOM1,C5693,destination_host,False,P16,Start
7,155399,U748@DOM1,C17693,C152,155155,244,U174@DOM1,C152,destination_host,False,P34,Start
7,155399,U748@DOM1,C17693,C152,155161,238,C152$@DOM1,C152,destination_host,False,P10,Start
8,155460,U748@DOM1,C17693,C2341,155190,270,U174@DOM1,C2341,destination_host,False,P34,Start
7,155399,U748@DOM1,C17693,C152,155215,184,U174@DOM1,C152,destination_host,False,P34,Start
7,155399,U748@DOM1,C17693,C152,155217,182,C152$@DOM1,C152,destination_host,False,P1645,Start
7,155399,U748@DOM1,C17693,C152,155219,180,C152$@DOM1,C152,destination_host,False,P13,Start
7,155399,U748@DOM1,C17693,C152,155219,180,C152$@DOM1,C152,destination_host,False,P14,Start
7,155399,U748@DOM1,C17693,C152,155219,180,C152$@DOM1,C152,destination_host,False,P16,Start
7,155399,U748@DOM1,C17693,C152,155219,180,C152$@DOM1,C152,destination_host,False,P5,Start
7,155399,U748@DOM1,C17693,C152,155219,180,C152$@DOM1,C152,destination_host,False,P8271,Start
7,155399,U748@DOM1,C17693,C152,155221,178,C152$@DOM1,C152,destination_host,False,P16,Start
6,155219,U748@DOM1,C17693,C5693,155221,2,C5693$@DOM1,C5693,destination_host,False,P4,Start
6,155219,U748@DOM1,C17693,C5693,155221,2,C5693$@DOM1,C5693,destination_host,False,P8316,Start
7,155399,U748@DOM1,C17693,C152,155233,166,C152$@DOM1,C152,destination_host,False,P16,Start
7,155399,U748@DOM1,C17693,C152,155233,166,C152$@DOM1,C152,destination_host,False,P1645,Start
7,155399,U748@DOM1,C17693,C152,155235,164,C152$@DOM1,C152,destination_host,False,P5,Start
7,155399,U748@DOM1,C17693,C152,155235,164,C152$@DOM1,C152,destination_host,False,P8279,Start
8,155460,U748@DOM1,C17693,C2341,155250,210,U174@DOM1,C2341,destination_host,False,P34,Start
7,155399,U748@DOM1,C17693,C152,155255,144,C152$@DOM1,C152,destination_host,False,P16,Start
7,155399,U748@DOM1,C17693,C152,155255,144,C152$@DOM1,C152,destination_host,False,P1645,Start
7,155399,U748@DOM1,C17693,C152,155255,144,C152$@DOM1,C152,destination_host,False,P5,Start
7,155399,U748@DOM1,C17693,C152,155255,144,C152$@DOM1,C152,destination_host,False,P8279,Start
7,155399,U748@DOM1,C17693,C152,155275,124,U174@DOM1,C152,destination_host,False,P34,Start
8,155460,U748@DOM1,C17693,C2341,155280,180,C2341$@DOM1,C2341,destination_host,False,P16,Start
9,155591,U748@DOM1,C17693,C332,155295,296,C332$@DOM1,C332,destination_host,False,P16,Start
6,155219,U748@DOM1,C17693,C5693,155295,76,U1763@DOM1,C5693,destination_host,False,P350,Start
8,155460,U748@DOM1,C17693,C2341,155310,150,U174@DOM1,C2341,destination_host,False,P34,Start
6,155219,U748@DOM1,C17693,C5693,155313,94,C5693$@DOM1,C5693,destination_host,False,P16,Start
7,155399,U748@DOM1,C17693,C152,155317,82,C152$@DOM1,C152,destination_host,False,P16,Start
7,155399,U748@DOM1,C17693,C152,155335,64,U174@DOM1,C152,destination_host,False,P34,Start
6,155219,U748@DOM1,C17693,C5693,155345,126,C5693$@DOM1,C5693,destination_host,False,P1645,Start
6,155219,U748@DOM1,C17693,C5693,155347,128,C5693$@DOM1,C5693,destination_host,False,P16,Start
6,155219,U748@DOM1,C17693,C5693,155347,128,C5693$@DOM1,C5693,destination_host,False,P5,Start
6,155219,U748@DOM1,C17693,C5693,155347,128,C5693$@DOM1,C5693,destination_host,False,P8279,Start
6,155219,U748@DOM1,C17693,C5693,155349,130,C5693$@DOM1,C5693,destination_host,False,P13,Start
6,155219,U748@DOM1,C17693,C5693,155349,130,C5693$@DOM1,C5693,destination_host,False,P14,Start
6,155219,U748@DOM1,C17693,C5693,155361,142,C5693$@DOM1,C5693,destination_host,False,P10,Start
6,155219,U748@DOM1,C17693,C5693,155361,142,C5693$@DOM1,C5693,destination_host,False,P16,Start
6,155219,U748@DOM1,C17693,C5693,155361,142,C5693$@DOM1,C5693,destination_host,False,P1645,Start
6,155219,U748@DOM1,C17693,C5693,155363,144,C5693$@DOM1,C5693,destination_host,False,P5,Start
6,155219,U748@DOM1,C17693,C5693,155363,144,C5693$@DOM1,C5693,destination_host,False,P8279,Start
8,155460,U748@DOM1,C17693,C2341,155370,90,U174@DOM1,C2341,destination_host,False,P34,Start
7,155399,U748@DOM1,C17693,C152,155395,4,U174@DOM1,C152,destination_host,False,P34,Start
7,155399,U748@DOM1,C17693,C152,155401,2,C152$@DOM1,C152,destination_host,False,P4,Start
7,155399,U748@DOM1,C17693,C152,155401,2,C152$@DOM1,C152,destination_host,False,P8317,Start
8,155460,U748@DOM1,C17693,C2341,155430,30,U174@DOM1,C2341,destination_host,False,P34,Start
7,155399,U748@DOM1,C17693,C152,155455,56,U174@DOM1,C152,destination_host,False,P34,Start
8,155460,U748@DOM1,C17693,C2341,155462,2,C2341$@DOM1,C2341,destination_host,False,P4,Start
8,155460,U748@DOM1,C17693,C2341,155462,2,C2341$@DOM1,C2341,destination_host,False,P8318,Start
8,155460,U748@DOM1,C17693,C2341,155490,30,U174@DOM1,C2341,destination_host,False,P34,Start
7,155399,U748@DOM1,C17693,C152,155515,116,U174@DOM1,C152,destination_host,False,P34,Start
8,155460,U748@DOM1,C17693,C2341,155550,90,U174@DOM1,C2341,destination_host,False,P34,Start
8,155460,U748@DOM1,C17693,C2341,155562,102,C2341$@DOM1,C2341,destination_host,False,P13,Start
8,155460,U748@DOM1,C17693,C2341,155562,102,C2341$@DOM1,C2341,destination_host,False,P14,Start
8,155460,U748@DOM1,C17693,C2341,155562,102,C2341$@DOM1,C2341,destination_host,False,P16,Start
8,155460,U748@DOM1,C17693,C2341,155562,102,C2341$@DOM1,C2341,destination_host,False,P1645,Start
8,155460,U748@DOM1,C17693,C2341,155562,102,C2341$@DOM1,C2341,destination_host,False,P5,Start
8,155460,U748@DOM1,C17693,C2341,155562,102,C2341$@DOM1,C2341,destination_host,False,P8279,Start
8,155460,U748@DOM1,C17693,C2341,155564,104,C2341$@DOM1,C2341,destination_host,False,P8279,Start
8,155460,U748@DOM1,C17693,C2341,155574,114,C2341$@DOM1,C2341,destination_host,False,P1645,Start
7,155399,U748@DOM1,C17693,C152,155575,176,U174@DOM1,C152,destination_host,False,P34,Start
8,155460,U748@DOM1,C17693,C2341,155576,116,C2341$@DOM1,C2341,destination_host,False,P16,Start
8,155460,U748@DOM1,C17693,C2341,155576,116,C2341$@DOM1,C2341,destination_host,False,P5,Start
8,155460,U748@DOM1,C17693,C2341,155576,116,C2341$@DOM1,C2341,destination_host,False,P8279,Start
8,155460,U748@DOM1,C17693,C2341,155582,122,C2341$@DOM1,C2341,destination_host,False,P16,Start
9,155591,U748@DOM1,C17693,C332,155591,0,C332$@DOM1,C332,destination_host,False,P4,Start
9,155591,U748@DOM1,C17693,C332,155591,0,C332$@DOM1,C332,destination_host,False,P8319,Start
9,155591,U748@DOM1,C17693,C332,155599,8,C332$@DOM1,C332,destination_host,False,P16,Start
8,155460,U748@DOM1,C17693,C2341,155610,150,U174@DOM1,C2341,destination_host,False,P34,Start
7,155399,U748@DOM1,C17693,C152,155621,222,C152$@DOM1,C152,destination_host,False,P16,Start
7,155399,U748@DOM1,C17693,C152,155635,236,U174@DOM1,C152,destination_host,False,P34,Start
8,155460,U748@DOM1,C17693,C2341,155646,186,C2341$@DOM1,C2341,destination_host,False,P16,Start
8,155460,U748@DOM1,C17693,C2341,155670,210,U174@DOM1,C2341,destination_host,False,P34,Start
9,155591,U748@DOM1,C17693,C332,155693,102,C332$@DOM1,C332,destination_host,False,P1645,Start
9,155591,U748@DOM1,C17693,C332,155695,104,C332$@DOM1,C332,destination_host,False,P16,Start
9,155591,U748@DOM1,C17693,C332,155695,104,C332$@DOM1,C332,destination_host,False,P5,Start
9,155591,U748@DOM1,C17693,C332,155695,104,C332$@DOM1,C332,destination_host,False,P8279,Start
7,155399,U748@DOM1,C17693,C152,155695,296,U174@DOM1,C152,destination_host,False,P34,Start
9,155591,U748@DOM1,C17693,C332,155697,106,C332$@DOM1,C332,destination_host,False,P13,Start
9,155591,U748@DOM1,C17693,C332,155697,106,C332$@DOM1,C332,destination_host,False,P14,Start
9,155591,U748@DOM1,C17693,C332,155705,114,C332$@DOM1,C332,destination_host,False,P16,Start
9,155591,U748@DOM1,C17693,C332,155705,114,C332$@DOM1,C332,destination_host,False,P1645,Start
9,155591,U748@DOM1,C17693,C332,155707,116,C332$@DOM1,C332,destination_host,False,P5,Start
9,155591,U748@DOM1,C17693,C332,155707,116,C332$@DOM1,C332,destination_host,False,P8279,Start
8,155460,U748@DOM1,C17693,C2341,155730,270,U174@DOM1,C2341,destination_host,False,P34,Start
